"id","street","suburb","latitude","longitude","venue","venue_lattitude","venue_longtitude","category"
1,"Anderson Rd","Albion",-37.7852,144.8272,"Cố Đô Vietnamese Restaurant",-37.78563893,144.8318906,"Vietnamese Restaurant"
2,"Anderson Rd","Albion",-37.7852,144.8272,"Diamond Palace",-37.78590278,144.8318903,"Chinese Restaurant"
3,"Anderson Rd","Albion",-37.7852,144.8272,"Pho Hien Saigon",-37.78465036,144.832178,"Vietnamese Restaurant"
4,"Anderson Rd","Albion",-37.7852,144.8272,"Fresh Chilli Deli",-37.78354473,144.8323132,"Bakery"
5,"Anderson Rd","Albion",-37.7852,144.8272,"Afghan Master Kebab",-37.78486524,144.8326777,"Afghan Restaurant"
6,"Anderson Rd","Albion",-37.7852,144.8272,"Thuan An Restaurant",-37.78436958,144.8321372,"Vietnamese Restaurant"
7,"Anderson Rd","Albion",-37.7852,144.8272,"The Granary Cafe",-37.78492,144.83114,"Café"
8,"Anderson Rd","Albion",-37.7852,144.8272,"Village Cinemas (Gold Class)",-37.78211489,144.8311677,"Movie Theater"
9,"Anderson Rd","Albion",-37.7852,144.8272,"Foodworks",-37.78658155,144.8301158,"Supermarket"
10,"Anderson Rd","Albion",-37.7852,144.8272,"The Hotel Derrimut",-37.7882072,144.830412,"Gastropub"
11,"Anderson Rd","Albion",-37.7852,144.8272,"Xuan banh cuon",-37.78644101,144.8319045,"Asian Restaurant"
12,"Anderson Rd","Albion",-37.7852,144.8272,"Cafe Mambo",-37.78190015,144.8308447,"Restaurant"
13,"Anderson Rd","Albion",-37.7852,144.8272,"Dragon Express",-37.78767556,144.8314266,"Chinese Restaurant"
14,"Anderson Rd","Albion",-37.7852,144.8272,"Thuan Hung Asian Grocery",-37.78445,144.83245,"Grocery Store"
15,"Anderson Rd","Albion",-37.7852,144.8272,"Platnium Health & Pilates",-37.7808,144.82787,"Gym"
16,"Lidgett St","Bacchus Marsh",-37.67344,144.43181,"Baby Black Espresso Bar",-37.67445524,144.4363172,"Café"
17,"Lidgett St","Bacchus Marsh",-37.67344,144.43181,"Foodworks",-37.67407026,144.4368804,"Supermarket"
18,"Lidgett St","Bacchus Marsh",-37.67344,144.43181,"Kfc Bacchus Marsh",-37.674313,144.436356,"Fast Food Restaurant"
19,"Lidgett St","Bacchus Marsh",-37.67344,144.43181,"McDonald's",-37.67409333,144.4360534,"Fast Food Restaurant"
20,"Lidgett St","Bacchus Marsh",-37.67344,144.43181,"Loot Bar And Cafe",-37.675557,144.436626,"Café"
21,"Jersey Pde","Carnegie",-37.8875,145.0599,"Shyun Japanese Restaurant",-37.88846565,145.0572251,"Japanese Restaurant"
22,"Jersey Pde","Carnegie",-37.8875,145.0599,"Grill'd",-37.88738965,145.0574944,"Burger Joint"
23,"Jersey Pde","Carnegie",-37.8875,145.0599,"Huff Bagelry",-37.88816814,145.0572686,"Bagel Shop"
24,"Jersey Pde","Carnegie",-37.8875,145.0599,"Mrs Kim's Grill",-37.88867014,145.0571596,"Korean Restaurant"
