"suburb","MAX price"
"Murrumbeena","$1,965,000.00"
"Chirnside Park","$911,982.00"
"Beaconsfield Upper","$675,000.00"
"Taylors Hill","$725,500.00"
"Kingsbury","$1,250,000.00"
"Hillside","$1,111,000.00"
"Pakenham","$643,500.00"
"Caulfield East","$1,650,000.00"
"Bullengarook","$535,000.00"
"Balwyn","$4,000,000.00"
"Keilor Park","$843,000.00"
"Craigieburn","$1,000,000.00"
"Essendon West","$2,200,000.00"
"Fawkner","$1,018,000.00"
"Nunawading","$1,570,000.00"
"Newport","$3,420,000.00"
"Cranbourne North","$670,000.00"
"Sandringham","$3,350,000.00"
"Sunshine West","$859,000.00"
"Ashburton","$3,510,000.00"
"Broadmeadows","$1,335,000.00"
"East Melbourne","$4,525,000.00"
"Altona North","$1,500,000.00"
"Oakleigh East","$1,900,000.00"
"Langwarrin","$965,000.00"
"Essendon North","$1,605,000.00"
"Spotswood","$1,320,000.00"
"Carlton North","$3,450,000.00"
"Altona Meadows","$820,000.00"
"Croydon North","$1,350,000.00"
"Diamond Creek","$990,000.00"
"Ripponlea","$1,925,000.00"
"Bentleigh East","$1,962,000.00"
"Sunshine","$1,350,500.00"
"The Basin","$700,000.00"
"Wantirna South","$2,020,000.00"
"Keysborough","$1,250,000.00"
"Bentleigh","$2,700,000.00"
"Hawthorn","$7,650,000.00"
"Heidelberg West","$1,375,000.00"
"Blackburn North","$1,555,000.00"
"Beaconsfield","$670,000.00"
"Princes Hill","$1,908,000.00"
"Moorabbin","$1,426,000.00"
"St Helena","$1,387,000.00"
"Wheelers Hill","$1,678,000.00"
"Albion","$905,000.00"
"Parkville","$3,970,000.00"
"West Melbourne","$2,370,000.00"
"Aspendale","$1,510,000.00"
"Richmond","$3,335,000.00"
"Brookfield","$456,000.00"
"St Kilda","$5,046,000.00"
"Coburg","$2,250,000.00"
"Jacana","$650,000.00"
"Templestowe","$2,600,000.00"
"Ivanhoe East","$3,850,000.00"
"Noble Park","$805,000.00"
"Healesville","$650,000.00"
"Gowanbrae","$990,000.00"
"Cranbourne","$720,008.00"
"Lalor","$801,000.00"
"Mentone","$2,025,000.00"
"Hampton","$3,470,000.00"
"Ivanhoe","$3,020,000.00"
"Monbulk","$720,000.00"
"Burnside","$657,500.00"
"Brunswick West","$2,350,000.00"
"Montmorency","$1,301,000.00"
"Springvale","$1,080,000.00"
"Deer Park","$716,000.00"
"Watsonia","$1,171,000.00"
"Surrey Hills","$3,625,000.00"
"Gladstone Park","$755,000.00"
"Reservoir","$1,700,000.00"
"Tarneit","$586,000.00"
"Deepdene","$1,680,000.00"
"Thomastown","$931,000.00"
"Dallas","$477,000.00"
"Skye","$640,000.00"
"Beaumaris","$3,778,000.00"
"Rosanna","$2,530,000.00"
"Werribee","$830,000.00"
"Windsor","$2,368,000.00"
"Bonbeach","$1,830,000.00"
"Campbellfield","$650,000.00"
"Plumpton","$625,500.00"
"Black Rock","$2,520,000.00"
"Kooyong","$3,080,000.00"
"Fitzroy","$4,011,000.00"
"Melton West","$600,000.00"
"Burwood","$2,150,000.00"
"Derrimut","$860,000.00"
"Sunshine North","$1,190,000.00"
"Mont Albert","$3,900,000.00"
"Glen Iris","$3,860,000.00"
"Thornbury","$2,070,000.00"
"Wollert","$730,000.00"
"Keilor Lodge","$680,000.00"
"Dingley Village","$1,281,000.00"
"Upwey","$575,000.00"
"Montrose","$735,000.00"
"New Gisborne","$1,355,000.00"
"Clayton South","$1,250,500.00"
"Mulgrave","$9,000,000.00"
"Carlton","$2,705,000.00"
"Rowville","$1,275,000.00"
"Strathmore Heights","$1,260,000.00"
"Southbank","$1,250,000.00"
"Eaglemont","$3,300,000.00"
"Balaclava","$1,819,000.00"
"Kingsville","$1,340,000.00"
"Waterways","$1,265,000.00"
"Tullamarine","$895,000.00"
"Armadale","$5,525,000.00"
"Greenvale","$1,170,000.00"
"Taylors Lakes","$1,300,000.00"
"Hallam","$1,300,000.00"
"Middle Park","$6,400,000.00"
"Doreen","$555,000.00"
"Keilor Downs","$810,000.00"
"Ferntree Gully","$1,900,000.00"
"South Morang","$945,000.00"
"Attwood","$640,000.00"
"Springvale South","$850,000.00"
"Blackburn South","$1,300,000.00"
"Caulfield North","$2,830,000.00"
"Blackburn","$1,900,000.00"
"Braybrook","$1,000,000.00"
"Frankston South","$1,905,000.00"
"Oakleigh South","$1,900,000.00"
"Meadow Heights","$741,000.00"
"Wyndham Vale","$500,000.00"
"Oak Park","$1,453,000.00"
"Fairfield","$2,350,000.00"
"Warrandyte","$1,600,000.00"
"McKinnon","$2,300,000.00"
"Keilor","$1,125,000.00"
"Mernda","$780,000.00"
"Northcote","$4,300,000.00"
"Kilsyth","$811,000.00"
"Gardenvale","$2,200,000.00"
"Balwyn North","$4,000,000.00"
"Heathmont","$1,825,000.00"
"Malvern","$4,900,000.00"
"North Warrandyte","$1,550,000.00"
"Melton","$710,000.00"
